TenantId,SourceSystem,"TimeGenerated [UTC]",Computer,"TimeOfCommand [UTC]",ContainerID,Image,ImageTag,Repository,Name,LogEntry,LogEntrySource,Type,"_ResourceId",ContainerName,PodName,PodNamespace,LogMessage,LogSource,KubernetesMetadata,LogLevel
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.903 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","[13:35:26] [INFORMATION] [Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository] Writing data to file '/root/.aspnet/DataProtection-Keys/key-3a07e16e-2810-4a58-9373-a0bcb7a44eca.xml'.",stdout,,info
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.899 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev",,stdout,,unknown
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.899 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","[13:35:26] [WARNING] [Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager] No XML encryptor configured. Key {3a07e16e-2810-4a58-9373-a0bcb7a44eca} may be persisted to storage in unencrypted form.",stdout,,warning
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.894 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev",,stdout,,unknown
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.894 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","[13:35:26] [INFORMATION] [Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager] Creating key {3a07e16e-2810-4a58-9373-a0bcb7a44eca} with creation date 2025-08-17 13:35:26Z, activation date 2025-08-17 13:35:26Z, and expiration date 2025-11-15 13:35:26Z.",stdout,,info
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.880 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev",,stdout,,unknown
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.880 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","[13:35:26] [INFORMATION] [Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager] User profile is available. Using '/root/.aspnet/DataProtection-Keys' as key repository; keys will not be encrypted at rest.",stdout,,info
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.880 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev",,stdout,,unknown
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.880 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","[13:35:26] [WARNING] [Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository] Storing keys in a directory '/root/.aspnet/DataProtection-Keys' that may not be persisted outside of the container. Protected data will be unavailable when container is destroyed. For more information go to https://aka.ms/aspnet/dataprotectionwarning",stdout,,warning
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.759 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev",,stdout,,unknown
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.759 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","SELECT @result",stdout,,unknown
"748338be-5ed6-4517-916e-0e813b919b89",,"8/17/2025, 1:35:26.759 PM","aks-system-27142344-vmss000001",,c24a00d9849c0f07aac8cf1f5c3ba3572140d07be7a86f86d15c920525539411,,,,,,,ContainerLogV2,"/subscriptions/6b4c6964-00b1-443b-b777-d2bfc4833a31/resourcegroups/abb-devops/providers/microsoft.containerservice/managedclusters/abb-aks-cluster","dotnet-sample-app","helm-deploy-7bf78449b7-pkp9c","deploy-dev","EXEC @result = sp_releaseapplock @Resource = '__EFMigrationsLock', @LockOwner = 'Session';",stdout,,unknown
